Company Name,Sum of Funding Amt (USD millions),Homepage
Anthropic,2800,https://www.anthropic.com
Mistral AI,987,https://mistral.ai
Alphasense,800,https://www.alpha-sense.com
Figure,675,https://www.figure.ai
MiniMax,600,https://www.minimaxi.com
PolyAI,500,https://poly.ai
Runway,450,https://runwayml.com
Cohere,450,https://cohere.com
Formation Bio,372,https://www.formation.bio/blog/our-vision-for-ai-in-pharma
CData,350,https://www.cdata.com
Zhipu,340,https://www.zhipuai.cn
Lambda,320,https://lambdalabs.com
DeepL,300,https://www.deepl.com
Baichuan,300,https://www.baichuan-ai.com
Cyera,300,https://www.cyera.io
Generate Biomedicines,273,https://generatebiomedicines.com
Augment,252,https://www.augment.co
Perplexity,250,https://www.perplexity.ai
Rivos,250,https://www.rivosinc.com
Divergent Technologies,230,https://www.divergent3d.com
Rebellions,224,https://rebellions.ai
Helsing,223,https://helsing.ai
H (fka Holistic AI),220,https://www.holisticai.com
Imbue,212,https://imbue.com
Together AI,206,https://www.together.ai
The DNEG Group,200,https://www.dneg.com
Glean,200,https://www.glean.com
Waabi,200,https://waabi.ai
Abridge,180,https://www.abridge.com
Celestial AI,175,https://www.celestial.ai
Urbanic,150,https://www.urbanic.com
Shield AI,150,https://shield.ai
Kore.ai,150,https://kore.ai
EvolutionaryScale,142,https://www.evolutionaryscale.ai
WEKA,140,https://www.weka.io
Enfabrica,125,https://enfabrica.net
Etched,120,https://www.etched.com
Hailo,120,https://hailo.ai
Vast Data,118,https://www.vastdata.com
Magic AI,117,https://magicai.ai
The BrandTech Group,115,https://thebrandtechgroup.com
Zephyr AI,111,https://www.zephyrai.bio
Arkon Energy,110,https://www.arkonenergy.com
Sierra,110,https://sierra.ai
Atlan,105,https://atlan.com
Together,102.5,https://www.together.ai
Recogni,102,https://www.recogni.com
Odyssey Therapeutics,101,https://odysseytx.com
FloQast,100,https://floqast.com
Pryon,100,https://www.pryon.com
Karius,100,https://kariusdx.com
Iambic Therapeutics,100,https://www.iambic.ai
Writer,100,https://writer.com
Hebbia,100,https://www.hebbia.ai
Cognigy,100,https://www.cognigy.com
1X Technologies,100,https://www.1x.tech
PhotoRoom,93,https://www.photoroom.com
Fetcherr,90,https://www.fetcherr.io
Sentient,85,https://sentient.io
Foretellix,85,https://www.foretellix.com
Pixis,85,https://pixis.ai
ElevenLabs,80,https://elevenlabs.io
DeepX,80,https://deepx.ai
Pika,80,https://pika.art
Elucid,80,https://elucid.com
Harvey.ai,80,https://www.harvey.ai
Ideogram,80,https://ideogram.ai
Frore Systems,80,https://www.froresystems.com
Foundry,80,https://www.foundry.ai
Frontier Medicines,80,https://www.frontiermeds.com
RapidSOS,75,https://rapidsos.com
Quora,75,https://www.quora.com
Upstage,72,https://www.upstage.ai
Vilya,71,https://vilyatx.com
SiMa.ai,70,https://sima.ai
Axelera,68,https://www.axelera.ai
Parloa,66,https://www.parloa.com
Codeium,65,https://codeium.com
Stampli,61,https://www.stampli.com
Eliyan,60,https://eliyan.com
HeyGen,60,https://www.heygen.com
Corti,60,https://www.corti.ai
Genspark,60,https://genspark.net
BigID,60,https://bigid.com
Napier AI,57.1,https://www.napier.ai
ThetaRay,57,https://www.thetaray.com
Essential AI,56.5,https://essential.ai
Pika Labs,55,https://pika.art
Ibex Medical Analytics,55,https://ibex-ai.com
Forta,55,https://forta.org
Hippocratic AI,53,https://www.hippocraticai.com
A121 Labs,53,https://www.ai21.com
Stability AI,50,https://stability.ai
Dtex Systems,50,https://www.dtexsystems.com
AiDash,50,https://www.aidash.com
Krutrim,50,https://chat.olakrutrim.com
Covera Health,50,https://www.coverahealth.com
Legion Technologies,50,https://legion.co
Canary Technologies,50,https://www.canarytechnologies.com
Unlearn,50,https://www.unlearn.ai
Taalas,50,https://taalas.com
AssemblyAI,50,https://www.assemblyai.com
Twelve Labs,50,https://www.twelvelabs.io
HiddenLayer,50,https://hiddenlayer.com
Grand Total,18950.1,https://www.grandtotal.biz
